1.439038805003E9,90.75
1.439038815034E9,90.59375
1.43903882505E9,90.78125
1.439038835018E9,90.4375
1.439038845034E9,90.53125
1.439038855003E9,90.5625
1.439038865018E9,90.65625
1.439038875034E9,90.5
1.439038885003E9,90.4375
1.439038895018E9,90.5
1.439038905034E9,91.03125
1.439038915003E9,91.125
1.439038925018E9,90.9375
1.439038935034E9,90.9375
1.439038945003E9,91.1875
1.439038955018E9,91.40625
1.43903896505E9,91.3125
1.439038975003E9,91.25
1.439038985034E9,91.34375
1.43903899505E9,91.5625
1.439039005003E9,91.5
1.439039015034E9,91.5625
1.43903902505E9,91.625
